,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi
Zn,-1.0,-1.0,-1.0,-1.0,0.6073411576492875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.23110264853442614,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11990051986218181,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6532728726488279,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5609858509231399,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.12821183749999998,0.62462621,0.5800847925,0.22614708083333335,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Ga,0.8561665624999999,-1.0,0.677483078478662,-1.0,0.5392390587705413,0.6993776942705341,0.6740099596152449,-1.0,-1.0,-1.0,0.37001110925,-1.0,0.27542945463390067,-1.0,0.8182291498915804,-1.0,-1.0,-1.0,1.1361102774999998,-1.0,0.3420865791384871,0.3160514886810662,0.19558052857047625,0.216098488355154,0.27522725959575217,0.17342131297009783,0.39484745742923266,0.3870706953333333,0.7548874910365954,-1.0,-1.0,-1.0,0.7212966274328468,-1.0,-1.0,-1.0,1.4019124625,0.5868171450042847,0.2985769248765167,-1.0,0.747262491164987,0.9371191299999999,-1.0,0.282553038,0.3774535743690882,0.4843712691136484,0.6953735400000001,-1.0,0.44095726127774476,-1.0,0.6514341934155021,-1.0,1.024914724,-1.0,-1.0,-1.0,0.4939080237290654,0.702803670137673,0.39149528614291185,0.36324020915921423,-1.0,0.34476592788595106,0.5076070492276702,0.38747699423516113,0.2584017786326376,0.39483254590992495,0.32342094006703037,0.45717027894606105,0.5066993654336683,0.6475447824197109,0.48499621772879764,-1.0,0.14357654600000003,-1.0,-1.0,-1.0,-1.0,0.6675021404966477,0.4872496545572159,-1.0,0.48399863247555486,0.7121226611465504,0.6903251424813226
Ge,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
As,-1.0,-1.0,-1.0,-1.0,0.7869049274302817,0.7594024504699542,0.66521662,-1.0,-1.0,-1.0,-1.0,-1.0,0.9457930429595667,-1.0,0.4323888700000001,-1.0,-1.0,-1.0,-1.0,-1.0,0.7250642167728432,0.7956167645599951,0.6755457594997587,0.9490491926969096,0.6523406325575763,0.6695514426671402,0.74874146275,0.740757756,0.6876034723333334,-1.0,0.7212966274328468,-1.0,-1.0,-1.0,-1.0,-1.0,0.256795945,-1.0,0.6511089961569172,-1.0,-1.0,-1.0,-1.0,0.55991247,0.6624745380347644,0.6668006277110753,0.794131247,-1.0,0.5540701363785545,-1.0,0.5624257663719562,-1.0,0.723497846,-1.0,-1.0,-1.0,0.6801774136731259,0.6497503329604706,0.6075990573485682,0.6320895238050627,-1.0,0.634061560778704,0.6407097987270978,0.6374407561486767,0.5977567256262868,0.6626536572095834,0.6513700022497398,0.6805018457704833,0.6755287580573522,0.7529396526532462,0.6643700306574349,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6537298247825459,0.6479919177326801,-1.0,0.6104981229109949,0.602577765,0.6084181047473558
Se,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5367670674293522,-1.0,0.6508369480687918,0.563947209212742,-1.0,0.35438478648526844,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6540139333048811,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.48343164554665835,-1.0,0.6119383850799434,0.4764553589092666,-1.0,-1.0,-1.0,-1.0,0.6843413092809636,0.6006253021825234,0.44823064448081973,0.6355844887491069,-1.0,0.6721333263827268,0.6761227646217549,0.5523229268986477,0.559579123955451,0.5535275605012846,0.645545506000439,0.639966357734678,0.5410772129772716,0.5378945552815813,0.6370187114935993,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6727228923584342
Br,-1.0,-1.0,-1.0,-1.0,1.2673643680000002,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8652227516948985,-1.0,-1.0
Kr,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Rb,-1.0,-1.0,-1.0,-1.0,0.4531084393040013,0.4879404383251929,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7967899499275821,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6792589583333334,-1.0,-1.0,0.5890028783799065,1.1928227206459185,0.6137605174311215,-1.0,-1.0,0.90780978,-1.0,1.4019124625,-1.0,0.256795945,-1.0,-1.0,-1.0,-1.0,-1.0,0.5914869404166666,-1.0,-1.0,-1.0,-1.0,-1.0,1.31021739,-1.0,-1.0,-1.0,0.8918679860153181,-1.0,0.3561145832974959,-1.0,-1.0,-1.0,-1.0,-1.0,0.580336338036154,-1.0,0.7821791174999999,0.5900279235112559,-1.0,0.7623320787499999,-1.0,0.6175112386065504,-1.0,0.92226025,0.8281577324999999,0.7593555112500001,-1.0,0.91123751,0.5892207549999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4654787424352882,-1.0,0.5903954333333333,-1.0,0.621526703125
Sr,-1.0,-1.0,-1.0,-1.0,0.5407402158853645,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.030004384,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.740470688,-1.0,-1.0,0.953202202,0.3765392066630735,0.9075110040000001,-1.0,-1.0,-1.0,-1.0,0.5868171450042847,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5079274079227132,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4199282614656583,0.547772108,0.4387333194328812,0.4821362757617184,-1.0,0.48216964800000006,0.46663879300000005,-1.0,-1.0,0.561598649,-1.0,-1.0,-1.0,-1.0,0.6077072920000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3295088598583393
Y,0.9498846452499998,-1.0,0.5576033107802544,-1.0,0.7417000342960929,0.8338478994586391,0.947285791628817,-1.0,0.7567441158132826,-1.0,0.4979508431405586,-1.0,0.5383984540338413,-1.0,0.4649588014118297,0.42604076719347017,0.12314887249999999,-1.0,-1.0,-1.0,0.3075799453209297,0.30470803442314925,0.2763120701145824,0.3943159285180612,0.3328715548959796,0.372869632218543,0.37126791634775536,0.29234559151190476,0.7304728266345836,0.6532728726488279,0.2985769248765167,-1.0,0.6511089961569172,0.6540139333048811,-1.0,-1.0,0.5914869404166666,-1.0,-1.0,-1.0,0.36979144336773917,0.3947735291352672,-1.0,0.16568815835693643,0.21909922534974052,0.37481200950000004,-1.0,-1.0,0.3307756245309631,0.11155613267370856,0.421949177241316,0.6693916855335736,0.38466155733333335,-1.0,-1.0,-1.0,0.3694992557089094,0.31914593920485934,0.2901160330127171,0.23906803484991027,-1.0,0.1674520872083953,0.16376407653977154,0.1442635842545125,0.07630252036481588,0.07217739225656888,0.07075965255205426,0.07853141648243901,0.1193738064026893,0.19846733663508767,0.1637802052042316,-1.0,0.33562670425480584,-1.0,0.2743030025714286,0.08920250960000001,0.24022315499999997,-1.0,0.666547131877897,-1.0,0.2639916839088961,0.1900454453722728,0.3818904305539691
