,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi
Ba,-1.0,-1.0,-1.0,0.14393071212803044,0.0405136323332241,0.1542583847205169,0.0817437546168606,-1.0,-1.0,-1.0,0.09139292291527244,0.12622818832906751,-1.0,0.16279841377648266,0.05837580528576363,0.06961195768065113,0.08586102790889148,-1.0,0.0517170932513724,0.12151812856245478,0.34840902,0.2580372666249415,0.18627399059608601,0.09846745797881282,0.13598276926637234,0.14793267045953776,0.1376159147499969,0.16040061317941068,0.11791366595987023,0.11003648903990874,0.08070633089471894,0.176329762104261,0.0723264383653998,0.16655901512121776,-1.0,-1.0,0.04975692936200425,0.09943312511882066,0.06714801274557577,0.23730740764069863,0.2966758235759256,0.2542288188374,0.23277389821632757,0.2533120689174903,0.19489978070371813,0.12489083912888746,0.36421891328811856,0.13405145863283255,0.0669576652486524,0.20133154256958036,0.12678869417995034,0.08516467569220727,0.07684170837500001,-1.0,-1.0,-1.0,0.0668368925740022,0.041930717500000006,0.058089315189614056,0.08624492373423497,-1.0,0.0706271041881909,0.10665348146072981,-1.0,0.15540381930514818,-1.0,0.02291637149536897,0.0166332492722382,0.037924065817603,0.182267054659108,0.04275798282606336,0.15243729249610227,-1.0,0.0995223264525469,0.07268769650000001,0.2445234193516546,0.20149942783828556,0.09833510298195537,-1.0,0.15284044197051863,0.12691114646939053,0.11592535886672706,0.33715579182831257
La,-1.0,-1.0,-1.0,0.07457857853309356,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11463232785543026,-1.0,-1.0,-1.0,-1.0,0.1646974961308028,-1.0,0.12814217586055304,-1.0,0.0947484262101061,0.12135987958333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0616380125344794,-1.0,0.09785439,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0668368925740022,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Ce,-1.0,-1.0,-1.0,0.514376365,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.38947235,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.03355596437990473,0.34840911,0.5478189964205725,0.46894753999999994,-1.0,0.46711904499999995,-1.0,0.49458464,0.38283624,0.438592325,0.42264947,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0430783605,-1.0,-1.0,0.4563580854364191,-1.0,-1.0,-1.0,-1.0,0.45205018249999995,0.69517170625,3e-07,-1.0,0.46218969,-1.0,-1.0,-1.0,-1.0,-1.0,0.041930717500000006,-1.0,-1.0,1.7e-07,-1.0,-1.0,-1.0,9e-08,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5475784125,-1.0,0.52929101,-1.0
Pr,-1.0,-1.0,-1.0,0.15037151508714858,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2257577615644997,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.03583728678821037,0.34840894,0.5478188630872446,0.46894737000000003,-1.0,0.23033615943888652,0.10014636288742526,0.2835996392025925,0.2206653350752697,0.12997520797190593,0.10926504944444444,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.2e-07,-1.0,-1.0,0.45635791543642074,-1.0,-1.0,-1.0,-1.0,0.15674554991734485,0.6951715543750001,1.5e-07,-1.0,0.4621896125,-1.0,-1.0,-1.0,-1.0,-1.0,0.058089315189614056,-1.0,1.7e-07,-1.0,-1.0,-1.0,-1.0,1.3e-07,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5475782475,-1.0,0.5292908574999999,-1.0
Nd,-1.0,-1.0,-1.0,0.0789842798625132,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0752098968123429,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.06685649324772343,-1.0,-1.0,-1.0,-1.0,0.08854428508572124,0.197405714149884,0.12759563360138737,-1.0,0.08195319907142251,0.08046885638888888,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.05634933375,-1.0,0.0780689760439075,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.08624492373423497,-1.0,-1.0,-1.0,-1.0,-1.0,0.051024751307934296,0.1808286139380755,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Pm,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Sm,-1.0,-1.0,-1.0,0.04843924767161194,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11126764514894275,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.10834874786831875,-1.0,-1.0,-1.0,-1.0,0.08486402024999999,0.1504747991577473,0.15089401725298804,0.1209751149266475,0.07619960725297907,0.096145526875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.062383437,-1.0,-1.0,0.08460701500000001,-1.0,0.06259452374621896,-1.0,0.09337761000000001,-1.0,-1.0,0.139414691,-1.0,-1.0,-1.0,-1.0,0.0706271041881909,-1.0,-1.0,-1.0,0.051024751307934296,-1.0,-1.0,0.10304289793914198,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.061871879000000005,0.06197571600000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Eu,-1.0,-1.0,-1.0,0.191867483485494,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.12351600319946812,-1.0,-1.0,-1.0,0.10278975047174314,-1.0,-1.0,-1.0,0.09711831975365302,0.34840906,0.36899268280685815,0.2520390759786771,0.15683483113700933,0.12358631731936871,0.08648685223579243,0.12743425341224704,0.11838578334524472,0.11309337186518172,0.12447586966043832,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.062324803039218196,0.048990847679609296,0.17828762351692962,0.1584964735,0.29040273871821,0.16222276684442238,-1.0,-1.0,-1.0,0.20169080840755305,0.3967798779280709,0.11347456705000925,-1.0,0.16435108643774216,-1.0,-1.0,-1.0,-1.0,-1.0,0.10665348146072981,-1.0,9e-08,1.3e-07,0.1808286139380755,-1.0,0.10304289793914198,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1730561051423558,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.19616361170373056,0.21698464249138738,0.14000970696483744,-1.0
Gd,-1.0,-1.0,-1.0,0.046835930502667045,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.099576448,-1.0,-1.0,-1.0,-1.0,-1.0,0.172129778,0.13714198633333335,-1.0,0.1127647081140404,0.0769368875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Tb,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.10374633612007746,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.07446668484131484,-1.0,-1.0,-1.0,-1.0,0.06456375476611673,-1.0,0.09902407645533814,0.07353019559768989,0.05813534913175718,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1204550603900605,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.15540381930514818,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.14163468299552562,-1.0
