n,A,B,X,Aox,Box,Cox,RaIX,RaXII,Rb,Rc,exp,EAH
0.0,K,Cd,F,1.0,2.0,-1.0,1.55,1.64,0.95,1.19,False,0.0255770149999996
0.0,K,Co,F,1.0,2.0,-1.0,1.55,1.64,1.1500000000000001,1.19,False,0.1590786019999992
1.0,K,Co,F,1.0,2.0,-1.0,1.55,1.64,1.1500000000000001,1.19,False,0.0823301171428587
2.0,K,Co,F,1.0,2.0,-1.0,1.55,1.64,1.1500000000000001,1.1899999999999997,False,0.0
0.0,K,Fe,F,1.0,2.0,-1.0,1.55,1.64,1.2,1.19,False,0.2201906789999963
0.0,K,Hg,F,1.0,2.0,-1.0,1.55,1.64,1.02,1.1899999999999997,False,0.0
0.0,K,Mg,F,1.0,2.0,-1.0,1.55,1.64,0.72,1.19,False,0.0
1.0,K,Mg,F,1.0,2.0,-1.0,1.55,1.64,0.72,1.19,False,0.0
0.0,K,Nb,O,1.0,5.0,-2.0,1.55,1.64,0.64,1.26,False,0.0077302279999997
1.0,K,Ni,F,1.0,2.0,-1.0,1.55,1.64,0.69,1.19,False,0.0
2.0,K,Ni,F,1.0,2.0,-1.0,1.55,1.64,0.69,1.1899999999999997,False,0.0
0.0,K,Pd,F,1.0,2.0,-1.0,1.55,1.64,0.86,1.19,False,0.0345552939999933
0.0,K,Ta,O,1.0,5.0,-2.0,1.55,1.64,0.64,1.26,False,0.0
0.0,K,U,O,1.0,5.0,-2.0,1.55,1.64,0.76,1.26,False,0.0
1.0,K,U,O,1.0,6.0,-2.0,1.55,1.64,0.73,1.26,False,0.0
0.0,K,Zn,F,1.0,2.0,-1.0,1.55,1.64,0.74,1.19,False,0.0
1.0,K,Zn,F,1.0,2.0,-1.0,1.55,1.64,0.74,1.19,False,0.0
2.0,K,Zn,F,1.0,2.0,-1.0,1.55,1.64,0.74,1.1899999999999997,False,0.0
0.0,La,Cr,O,3.0,3.0,-2.0,1.216,1.36,0.615,1.26,False,0.0914568244999998
0.0,La,Fe,O,3.0,3.0,-2.0,1.216,1.36,1.0999999999999999,1.26,False,0.1300084940000001
0.0,La,Ti,O,3.0,3.0,-2.0,1.216,1.36,0.67,1.26,False,0.0675842517499916
0.0,La,V,O,3.0,3.0,-2.0,1.216,1.36,0.64,1.26,False,0.1772593870000012
0.0,Tl,Mn,Cl,1.0,2.0,-1.0,1.7999999999999998,1.7999999999999998,1.2,1.67,False,0.0293077779999997
0.0,Na,V,F,1.0,2.0,-1.0,1.24,1.39,0.79,1.19,False,0.0913499079999944
0.0,Na,W,O,1.0,5.0,-2.0,1.24,1.39,0.62,1.26,False,0.0553004563043533
0.0,Nd,Co,O,3.0,3.0,-2.0,1.163,1.27,1.05,1.26,False,0.0781587440000155
1.0,Nd,Co,O,3.0,2.0,-2.0,1.163,1.27,1.1500000000000001,1.26,True,0.1307605792857078
3.0,Nd,Co,O,3.0,2.6666666666666665,-2.0,1.163,1.2699999999999998,1.0833333333333337,1.2599999999999998,False,0.0272157813235249
0.0,Nd,Cr,O,3.0,3.0,-2.0,1.163,1.27,0.615,1.26,False,0.1431141595000014
1.0,Pr,Co,O,3.0,2.0,-2.0,1.55,1.55,1.1500000000000001,1.26,True,0.1070340608928539
0.0,Pr,Cr,O,3.0,3.0,-2.0,1.55,1.55,0.615,1.26,False,0.1180232594999992
0.0,Pr,V,O,3.0,3.0,-2.0,1.55,1.55,0.64,1.26,False,0.2120419344999984
0.0,Rb,Ca,F,1.0,2.0,-1.0,1.63,1.72,1.0,1.19,False,0.0
0.0,Rb,Cd,F,1.0,2.0,-1.0,1.63,1.72,0.95,1.19,False,0.0
0.0,Rb,Fe,F,1.0,2.0,-1.0,1.63,1.72,1.2,1.19,False,0.2661429584999988
1.0,Rb,Fe,F,1.0,2.0,-1.0,1.63,1.72,1.2,1.19,True,0.0
0.0,Rb,Ge,I,1.0,2.0,-1.0,1.63,1.72,0.73,2.06,False,0.0133855093333297
0.0,Rb,Hg,F,1.0,2.0,-1.0,1.63,1.72,1.02,1.19,False,0.0
1.0,Rb,Hg,F,1.0,2.0,-1.0,1.63,1.72,1.02,1.19,False,0.0
0.0,Rb,Mg,F,1.0,2.0,-1.0,1.63,1.72,0.72,1.19,False,0.0
1.0,Rb,Mg,F,1.0,2.0,-1.0,1.63,1.72,0.72,1.19,False,0.0
0.0,Rb,Mn,F,1.0,2.0,-1.0,1.63,1.72,1.2,1.19,False,0.0
1.0,Rb,Mn,F,1.0,2.0,-1.0,1.63,1.72,1.2,1.19,True,0.0
0.0,Rb,Pb,F,1.0,2.0,-1.0,1.63,1.72,1.19,1.19,False,0.0340889909999999
0.0,Rb,Pd,F,1.0,2.0,-1.0,1.63,1.72,0.86,1.19,False,0.0434700649999975
0.0,Rb,U,O,1.0,5.0,-2.0,1.63,1.72,0.76,1.26,False,0.0
1.0,Rb,U,O,1.0,6.0,-2.0,1.63,1.72,0.73,1.26,False,0.0
0.0,Sm,Co,O,3.0,3.0,-2.0,1.132,1.24,1.05,1.26,False,0.1305531110000073
0.0,Sm,Cr,O,3.0,3.0,-2.0,1.132,1.24,0.615,1.26,False,0.1972817555000006
0.0,Sm,V,O,2.0,4.0,-2.0,1.6500000000000001,1.6500000000000001,0.58,1.26,False,0.299045315499999
1.0,Sr,Fe,O,2.0,4.0,-2.0,1.31,1.44,0.585,1.26,False,0.0
2.0,Sr,Fe,O,2.0,4.0,-2.0,1.31,1.4400000000000002,0.585,1.26,False,0.0
0.0,Sr,Ge,O,2.0,4.0,-2.0,1.31,1.44,0.53,1.26,False,0.1500441693333272
0.0,Sr,Mn,O,2.0,4.0,-2.0,1.31,1.44,0.53,1.26,False,0.0492473494999998
1.0,Sr,Mn,O,2.0,4.0,-2.0,1.31,1.44,0.53,1.26,False,0.0065769003571398
2.0,Sr,Mn,O,2.0,4.0,-2.0,1.31,1.4400000000000002,0.53,1.26,False,0.0280495223611252
0.0,Sr,Si,O,2.0,4.0,-2.0,1.31,1.44,0.4,1.26,False,0.3242759299999918
1.0,Sr,V,O,2.0,4.0,-2.0,1.31,1.44,0.58,1.26,False,0.0257023919999932
2.0,Sr,V,O,2.0,4.0,-2.0,1.31,1.4400000000000002,0.58,1.26,False,0.0
3.0,Sr,V,O,2.0,4.0,-2.0,1.31,1.44,0.58,1.26,False,0.0469774152270678
0.0,Sn,Ta,O,2.0,4.0,-2.0,1.25,1.25,0.68,1.26,False,0.2989471735000002
0.0,Pb,Ti,O,2.0,4.0,-2.0,1.35,1.49,0.605,1.26,False,0.0412217460000015
0.0,Pb,V,O,2.0,4.0,-2.0,1.35,1.49,0.58,1.26,False,0.1245164723124991
0.0,Ag,Zn,F,1.0,2.0,-1.0,1.5,1.5,0.74,1.19,False,0.0535718940000009
0.0,Pb,Zr,O,2.0,4.0,-2.0,1.35,1.49,0.72,1.26,False,0.0818658328124968
0.0,Ac,Al,O,0.0,0.0,0.0,1.95,1.95,1.25,0.6,True,0.0
0.0,Ac,Ga,O,0.0,0.0,0.0,1.95,1.95,1.3,0.6,True,0.0
0.0,Ac,Mg,O,0.0,0.0,0.0,1.95,1.95,1.5,0.6,True,0.0827427582499993
0.0,Ac,Mn,O,0.0,0.0,0.0,1.95,1.95,1.4,0.6,True,0.0
0.0,Ac,Pd,O,0.0,0.0,0.0,1.95,1.95,1.4,0.6,True,0.0
0.0,Ac,Sc,O,0.0,0.0,0.0,1.95,1.95,1.6,0.6,True,0.0241400348749998
0.0,Ac,V,O,0.0,0.0,0.0,1.95,1.95,1.35,0.6,True,0.0
0.0,Bi,Al,O,3.0,3.0,-2.0,1.3,1.3,0.535,1.26,True,0.1216092342500028
0.0,Ba,Al,O,0.0,0.0,0.0,2.15,2.15,1.25,0.6,True,0.1693612007499938
0.0,Ba,Au,O,0.0,0.0,0.0,2.15,2.15,1.35,0.6,True,0.198319595
0.0,Ba,Cd,O,0.0,0.0,0.0,2.15,2.15,1.55,0.6,True,0.2028810379999965
0.0,Ba,Cu,O,2.0,1.0,-1.0,1.47,1.61,0.77,0.6999999999999998,True,0.0827329195833348
0.0,Ba,Dy,O,0.0,0.0,0.0,2.15,2.15,1.75,0.6,True,0.1087208710000009
0.0,Ba,Er,O,0.0,0.0,0.0,2.15,2.15,1.75,0.6,True,0.0867026415000022
0.0,Ba,Eu,O,0.0,0.0,0.0,2.15,2.15,1.85,0.6,True,0.165083611
0.0,Ba,Ge,O,2.0,4.0,-2.0,1.47,1.61,0.53,1.26,True,0.2323634095000004
0.0,Ba,Hf,O,2.0,4.0,-2.0,1.47,1.61,0.71,1.26,True,0.0
1.0,Ba,Hf,O,2.0,4.0,-2.0,1.47,1.61,0.71,1.26,True,0.0
2.0,Ba,Hf,O,2.0,4.0,-2.0,1.47,1.61,0.71,1.26,True,0.0
3.0,Ba,Hf,O,2.0,4.0,-2.0,1.4700000000000002,1.6099999999999999,0.71,1.2600000000000005,True,0.0055094979411762
0.0,Ba,Hf,S,2.0,4.0,-2.0,1.47,1.61,0.71,1.7,True,0.0282627044999985
1.0,Ba,Hf,S,2.0,4.0,-2.0,1.47,1.61,0.71,1.7,False,0.0
3.0,Ba,Hf,S,2.0,4.0,-2.0,1.47,1.61,0.71,1.6999999999999997,False,0.0216363691176484
4.0,Ba,Hf,S,2.0,4.0,-2.0,1.47,1.61,0.71,1.6999999999999995,False,0.0259424717045577
5.0,Ba,Hf,S,2.0,4.0,-2.0,1.47,1.61,0.71,1.6999999999999995,False,0.0290267625926041
0.0,Ba,In,O,0.0,0.0,0.0,2.15,2.15,1.55,0.6,True,0.0772048647500041
1.0,Ba,In,O,2.0,3.0,-2.0,1.4700000000000002,1.6099999999999999,0.8000000000000002,1.2600000000000002,False,0.0138804276785746
0.0,Ba,Mn,O,2.0,4.0,-2.0,1.47,1.61,0.53,1.26,True,0.1337394536666671
1.0,Ba,Mn,O,2.0,4.0,-2.0,1.47,1.61,0.53,1.26,True,0.021058589761906
0.0,Ba,Nd,O,0.0,0.0,0.0,2.15,2.15,1.85,0.6,True,0.1785233512500008
0.0,Ba,Ni,O,2.0,4.0,-2.0,1.47,1.61,0.48,1.26,True,0.1242722740000008
0.0,Ba,Pd,O,2.0,4.0,-2.0,1.47,1.61,0.615,1.26,True,0.0287006584999947
0.0,Ba,Pt,O,0.0,0.0,0.0,2.15,2.15,1.35,0.6,True,0.0993157422666728
0.0,Ba,Re,O,2.0,4.0,-2.0,1.47,1.61,0.63,1.26,True,0.1363621645000012
0.0,Ba,Rh,O,2.0,4.0,-2.0,1.47,1.61,0.6,1.26,True,0.0983361712962951
0.0,Ba,Ru,O,2.0,4.0,-2.0,1.47,1.61,0.62,1.26,True,0.068705431499989
1.0,Ba,Ru,O,2.0,4.0,-2.0,1.47,1.61,0.62,1.26,True,0.0006041192857164
0.0,Ba,Sc,O,0.0,0.0,0.0,2.15,2.15,1.6,0.6,True,0.0267010691666582
0.0,Ba,Ta,O,2.0,4.0,-2.0,1.47,1.61,0.68,1.26,True,0.0325576493066908
0.0,Ba,Tl,O,0.0,0.0,0.0,2.15,2.15,1.9,0.6,True,0.1192370462499941
