n,A,B,X,Aox,Box,Cox,Ra,Rb,Rc,exp,EAH
0.0,Rb,Sm,I,1.0,2.0,-1.0,1.66,1.36,2.06,True,0.0
0.0,Rb,Sr,I,1.0,2.0,-1.0,1.66,1.32,2.06,True,0.0
0.0,Sr,Cr,O,2.0,4.0,-2.0,1.32,0.9999999999999999,1.2599999999999998,True,0.0
1.0,Sr,Cr,O,2.0,4.0,-2.0,1.32,0.9999999999999999,1.26,True,0.033936408749998925
3.0,Sr,Cr,O,2.0,4.0,-2.0,1.32,0.9999999999999999,1.26,False,0.06295009650735839
0.0,Sr,Ir,O,2.0,4.0,-2.0,1.32,0.765,1.2600000000000005,True,0.0
1.0,Sr,Ir,O,2.0,4.0,-2.0,1.32,0.765,1.26,True,0.033991946428571396
3.0,Sr,Ir,O,2.0,4.0,-2.0,1.32,0.765,1.26,False,0.08572160029411524
0.0,Sr,Ru,O,2.0,4.0,-2.0,1.32,0.76,1.26,True,0.0
1.0,Sr,Ru,O,2.0,4.0,-2.0,1.32,0.76,1.26,True,0.0
2.0,Sr,Ru,O,2.0,4.0,-2.0,1.32,0.76,1.26,True,0.00523286166666459
3.0,Sr,Ru,O,2.0,4.0,-2.0,1.32,0.7599999999999999,1.2600000000000005,True,0.0
0.0,Fe,Ti,O,2.0,4.0,-2.0,0.92,0.745,1.26,True,0.0
0.0,Tl,Sn,I,1.0,2.0,-1.0,1.64,1.25,2.06,True,0.0
0.0,Y,Al,O,3.0,3.0,-2.0,1.04,0.6749999999999999,1.2600000000000005,True,0.0
0.0,Bi,Ag,O,0.0,0.0,0.0,1.6,1.6,0.6,True,0.0
0.0,Ag,Sn,O,0.0,0.0,0.0,1.6,1.45,0.6,True,0.0
0.0,La,Ni,O,3.0,3.0,-2.0,1.172,0.74,1.26,True,0.0
1.0,La,Ni,O,3.0,2.0,-2.0,1.172,1.1500000000000001,1.26,True,0.07731304535714045
3.0,La,Ni,O,3.0,2.6666666666666665,-2.0,1.172,0.8766666666666666,1.26,True,0.035287723970585994
0.0,Ag,Li,F,0.0,0.0,0.0,1.6,1.45,0.5,True,0.0
