file,formula,spacegroup_symbol,spacegroup_number,rp_like,rp_confidence,rp_stoich_score,octa_fraction_rp_score,layered_network_score,anion_to_cation_ratio,octahedral_site_count,octahedral_fraction_of_cations,largest_octa_network_fraction,a_site_coordination_fraction,corner_sharing_fraction,b_octahedral_site_count,b_site_octa_fraction,b_largest_octa_network_fraction,b_corner_sharing_fraction,b_mean_octa_neighbor_degree,b_connectivity_score,A_element,B_element,X_element,A_oxidation_state,B_oxidation_state,X_oxidation_state,A_shannon_radius,B_shannon_radius,X_shannon_radius,A_shannon_cn,B_shannon_cn,X_shannon_cn,A_shannon_spin,B_shannon_spin,X_shannon_spin,error
data/cifs/Sr2VO4_mp-18972.cif,Sr2 V1 O4,I4/mmm,139,True,1.0,1.0,1.0,1.0,1.333333,8,0.333333,0.5,1.0,0.0,8,1.0,0.5,0.0,2.0,1.0,Sr,V,O,2.0,4.0,-2.0,1.440,0.580,1.350,XII,VI,II,none,none,none,
data/cifs/Sr2VO4_mp-541507.cif,Sr2 V1 O4,Pna2_1,33,False,0.55,1.0,0.0,0.0,1.333333,128,0.666667,1.0,0.0,0.722222,128,1.0,1.0,0.722222,9.0,1.0,Sr,V,O,2.0,4.0,-2.0,1.440,0.580,1.350,XII,VI,II,none,none,none,
data/cifs/Sr2VO4_mp-555382.cif,Sr2 V1 O4,Pna2_1,33,False,0.635,1.0,0.333333,0.125,1.333333,96,0.5,0.0625,0.0,0.0,64,0.5,0.0625,0.0,2.0,1.0,Sr,V,O,2.0,4.0,-2.0,1.440,0.580,1.350,XII,VI,II,none,none,none,
data/cifs/Sr4As2O_mp-8299.cif,Sr4 As2 O1,I4/mmm,139,False,0.0,0.0,0.0,0.0,0.166667,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Sr,As,O,2.0,-3.0,-2.0,1.440,,1.350,XII,,II,none,,none,
data/cifs/Sr4In2N_mp-19915.cif,Sr4 In2 N1,I4_1/amd,141,False,0.0,0.0,0.0,0.0,0.166667,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Sr,In,N,,,,,,,,,,,,,
data/cifs/Sr4P2O_mp-8298.cif,Sr4 P2 O1,I4/mmm,139,False,0.0,0.0,0.0,0.0,0.166667,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Sr,P,O,2.0,-3.0,-2.0,1.440,,1.350,XII,,II,none,,none,
data/cifs/SrAl2O4_mp-3094.cif,Sr1 Al2 O4,P2_1,4,True,0.9,1.0,1.0,1.0,1.333333,32,0.333333,0.5,0.0,0.666667,32,1.0,0.5,0.666667,3.0,1.0,Al,Sr,O,3.0,2.0,-2.0,0.535,1.180,1.350,VI,VI,II,none,none,none,
data/cifs/SrAl2O4_mp-5492.cif,Sr1 Al2 O4,P6_3,173,False,0.605,1.0,0.555556,0.125,1.333333,32,0.222222,0.0625,0.0,0.0,32,0.666667,0.0625,0.0,1.0,0.5,Al,Sr,O,3.0,2.0,-2.0,0.535,1.180,1.350,VI,VI,II,none,none,none,
data/cifs/SrCr2O4_mp-540583.cif,Sr1 Cr2 O4,Pmmn,59,False,0.588,1.0,0.0,0.25,1.333333,96,1.0,0.125,0.0,0.0,32,1.0,0.125,0.0,2.0,1.0,Cr,Sr,O,3.0,2.0,-2.0,0.615,1.180,1.350,VI,VI,II,none,none,none,
data/cifs/SrDy2O4_mp-556075.cif,Sr1 Dy2 O4,Pnma,62,False,0.65,1.0,0.0,0.0,1.333333,64,0.666667,1.0,1.0,0.571429,64,1.0,1.0,0.571429,7.0,1.0,Dy,Sr,O,3.0,2.0,-2.0,1.083,1.180,1.350,IX,VI,II,none,none,none,
data/cifs/SrEr2O4_mp-560445.cif,Sr1 Er2 O4,Pnma,62,False,0.65,1.0,0.0,0.0,1.333333,64,0.666667,1.0,1.0,0.571429,64,1.0,1.0,0.571429,7.0,1.0,Er,Sr,O,3.0,2.0,-2.0,1.062,1.180,1.350,IX,VI,II,none,none,none,
data/cifs/SrGd2O4_mp-3523.cif,Sr1 Gd2 O4,Pnma,62,False,0.65,1.0,0.0,0.0,1.333333,64,0.666667,1.0,1.0,0.571429,64,1.0,1.0,0.571429,7.0,1.0,Gd,Sr,O,3.0,2.0,-2.0,1.107,1.180,1.350,IX,VI,II,none,none,none,
data/cifs/SrHo2O4_mp-559385.cif,Sr1 Ho2 O4,Pnma,62,False,0.65,1.0,0.0,0.0,1.333333,64,0.666667,1.0,1.0,0.571429,64,1.0,1.0,0.571429,7.0,1.0,Ho,Sr,O,3.0,2.0,-2.0,1.072,1.180,1.350,IX,VI,II,none,none,none,
data/cifs/SrIn2O4_mp-540688.cif,Sr1 In2 O4,Pnma,62,False,0.65,1.0,0.0,0.0,1.333333,64,0.666667,1.0,1.0,0.571429,64,1.0,1.0,0.571429,7.0,1.0,In,Sr,O,3.0,2.0,-2.0,0.920,1.180,1.350,VIII,VI,II,none,none,none,
data/cifs/SrLi4N2_mp-15845.cif,Sr1 Li4 N2,C2/c,15,False,0.0,0.0,0.0,0.0,0.4,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Li,Sr,N,1.0,2.0,-3.0,0.920,1.180,1.460,VIII,VI,IV,none,none,none,
data/cifs/SrTb2O4_mp-18042.cif,Sr1 Tb2 O4,Pnma,62,False,0.65,1.0,0.0,0.0,1.333333,64,0.666667,1.0,1.0,0.571429,64,1.0,1.0,0.571429,7.0,1.0,Tb,Sr,O,3.0,2.0,-2.0,1.095,1.180,1.350,IX,VI,II,none,none,none,
data/cifs/SrTl2O4_mp-4655.cif,Sr1 Tl2 O4,Pnma,62,False,0.65,1.0,0.0,0.0,1.333333,64,0.666667,1.0,1.0,0.571429,64,1.0,1.0,0.571429,7.0,1.0,Tl,Sr,O,3.0,2.0,-2.0,0.980,1.180,1.350,VIII,VI,II,none,none,none,
data/cifs/SrTm2O4_mp-3446.cif,Sr1 Tm2 O4,Pnma,62,False,0.65,1.0,0.0,0.0,1.333333,64,0.666667,1.0,1.0,0.571429,64,1.0,1.0,0.571429,7.0,1.0,Tm,Sr,O,3.0,2.0,-2.0,1.052,1.180,1.350,IX,VI,II,none,none,none,
data/cifs/SrY2O4_mp-17275.cif,Sr1 Y2 O4,Pnma,62,False,0.65,1.0,0.0,0.0,1.333333,64,0.666667,1.0,1.0,0.571429,64,1.0,1.0,0.571429,7.0,1.0,Y,Sr,O,3.0,2.0,-2.0,1.075,1.180,1.350,IX,VI,II,none,none,none,
data/cifs/Ta(MnB2)2_mp-1077930.cif,Ta1 Mn2 B4,Immm,71,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,B,Mn,,-3.0,3.5,,,0.645,,,VI,,,High Spin,,
data/cifs/Ta4Co2C_mp-1194051.cif,Ta4 Co2 C1,Fd-3m,227,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Ta,Co,,0.0,2.0,,,0.745,,,VI,,,High Spin,,
data/cifs/Ta4Co2N_mp-1193305.cif,Ta4 Co2 N1,Fd-3m,227,False,0.0,0.0,0.0,0.0,0.166667,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Ta,Co,N,0.5,0.5,-3.0,,,1.460,,,IV,,,none,
data/cifs/Ta4Fe2N_mp-1193073.cif,Ta4 Fe2 N1,Fd-3m,227,False,0.0,0.0,0.0,0.0,0.166667,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Ta,Fe,N,0.5,0.5,-3.0,,,1.460,,,IV,,,none,
data/cifs/Ta4Ni2C_mp-867754.cif,Ta4 Ni2 C1,Fd-3m,227,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Ta,Ni,,0.0,2.0,,,0.690,,,VI,,,none,,
data/cifs/Ta4Ni2N_mp-1192944.cif,Ta4 Ni2 N1,Fd-3m,227,False,0.0,0.0,0.0,0.0,0.166667,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Ta,Ni,N,0.5,0.5,-3.0,,,1.460,,,IV,,,none,
data/cifs/Tb(Ni2As)2_mp-1103784.cif,Tb1 Ni4 As2,P4_2/mnm,136,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Ni,As,,1.25,-3.0,,,,,,,,,,,
data/cifs/Tb(Ni2P)2_mp-505597.cif,Tb1 Ni4 P2,P4_2/mnm,136,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Ni,P,,-1.0,1.5,,,,,,,,,,,
data/cifs/Tb(TiGa2)2_mp-1025253.cif,Tb1 Ti2 Ga4,I4/mmm,139,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Ga,Ti,,,,,,,,,,,,,,
data/cifs/Tb2EuSe4_mp-646337.cif,Tb2 Eu1 Se4,Pnma,62,False,0.65,1.0,0.0,0.0,1.333333,64,0.666667,1.0,1.0,0.571429,64,1.0,1.0,0.571429,7.0,1.0,Tb,Eu,Se,3.0,2.0,-2.0,1.095,1.170,1.980,IX,VI,VI,none,none,none,
data/cifs/Tb2FeC4_mp-1104152.cif,Tb2 Fe1 C4,Ibam,72,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,C,Tb,,-2.0,3.0,,,0.923,,,VI,,,none,,
data/cifs/Th(Fe2P)2_mp-21941.cif,Th1 Fe4 P2,Pnnm,58,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Fe,P,,-1.0,1.0,,,,,,,,,,,
data/cifs/Th(Re2Si)2_mp-505429.cif,Th1 Re4 Si2,Pnnm,58,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Re,Si,,-3.0,4.0,,,0.400,,,VI,,,none,,
data/cifs/Th2AlH4_mp-24083.cif,Th2 Al1 H4,I4/mcm,140,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,H,Th,,,,,,,,,,,,,,
data/cifs/Ti(CrS2)2_mp-1078058.cif,Ti1 Cr2 S4,C2/m,12,False,0.55,1.0,0.0,0.5,1.333333,24,1.0,0.25,0.0,0.0,8,1.0,0.25,0.0,1.0,0.5,Cr,Ti,S,2.0,4.0,-2.0,0.800,0.605,1.840,VI,VI,VI,High Spin,none,none,
data/cifs/Ti(CrTe2)2_mp-1025207.cif,Ti1 Cr2 Te4,C2/m,12,False,0.55,1.0,0.0,0.5,1.333333,24,1.0,0.25,0.0,0.0,8,1.0,0.25,0.0,1.0,0.5,Cr,Ti,Te,2.0,4.0,-2.0,0.800,0.605,2.210,VI,VI,VI,High Spin,none,none,
data/cifs/Ti(NbSe2)2_mp-1025291.cif,Ti1 Nb2 Se4,C2/m,12,False,0.55,1.0,0.0,0.5,1.333333,24,1.0,0.25,0.0,0.0,8,1.0,0.25,0.0,1.0,0.5,Nb,Ti,Se,2.0,4.0,-2.0,,0.605,1.980,,VI,VI,,none,none,
data/cifs/Ti(SnO2)2_mp-18288.cif,Ti1 Sn2 O4,P4_2/mbc,135,False,0.788,1.0,1.0,0.25,1.333333,32,0.333333,0.125,0.0,0.0,32,1.0,0.125,0.0,2.0,1.0,Sn,Ti,O,2.0,4.0,-2.0,,0.605,1.350,,VI,II,,none,none,
data/cifs/Ti(TlS2)2_mp-14441.cif,Ti1 Tl2 S4,Pbca,61,False,0.869,1.0,1.0,0.125,1.333333,64,0.333333,0.0625,1.0,0.0,64,1.0,0.0625,0.0,2.0,1.0,Tl,Ti,S,2.0,4.0,-2.0,,0.605,1.840,,VI,VI,,none,none,
data/cifs/Ti(VTe2)2_mp-1025282.cif,Ti1 V2 Te4,C2/m,12,False,0.55,1.0,0.0,0.5,1.333333,24,1.0,0.25,0.0,0.0,8,1.0,0.25,0.0,1.0,0.5,V,Ti,Te,2.0,4.0,-2.0,0.790,0.605,2.210,VI,VI,VI,none,none,none,
data/cifs/Ti2CoS4_mp-1025269.cif,Ti2 Co1 S4,C2/m,12,False,0.55,1.0,0.0,0.5,1.333333,24,1.0,0.25,0.0,0.0,8,1.0,0.25,0.0,1.0,0.5,Ti,Co,S,3.0,2.0,-2.0,0.670,0.745,1.840,VI,VI,VI,none,High Spin,none,
data/cifs/Ti2CoSe4_mp-1025347.cif,Ti2 Co1 Se4,C2/m,12,False,0.55,1.0,0.0,0.5,1.333333,24,1.0,0.25,0.0,0.0,8,1.0,0.25,0.0,1.0,0.5,Ti,Co,Se,3.0,2.0,-2.0,0.670,0.745,1.980,VI,VI,VI,none,High Spin,none,
data/cifs/Ti2CuS4_mp-3951.cif,Ti2 Cu1 S4,Fd-3m,227,False,0.55,1.0,0.0,0.0,1.333333,32,0.666667,1.0,0.0,0.0,32,1.0,1.0,0.0,6.0,1.0,Ti,Cu,S,3.5,1.0,-2.0,0.670,0.770,1.840,VI,VI,VI,none,none,none,
