file,formula,spacegroup_symbol,spacegroup_number,classification,family_match,confidence,anion_to_cation_ratio,score_abx3_like,score_layered_rp_like,network_score,b_site_species,octahedral_fraction_of_cations,largest_octa_network_fraction,a_site_coordination_fraction,A_element,B_element,X_element,A_oxidation_state,B_oxidation_state,X_oxidation_state,A_shannon_radius,B_shannon_radius,X_shannon_radius,A_shannon_cn,B_shannon_cn,X_shannon_cn,A_shannon_spin,B_shannon_spin,X_shannon_spin,error
data/cifs/AlBiO3_mp-551918.cif,Al1 Bi1 O3,R3c,161,unlikely perovskite-family,False,0.553,1.5,1.0,0.882352941176471,0.85,Al,1.0,1.0,0.0,Bi,Al,O,3.0,3.0,-2.0,1.170,0.535,1.350,VIII,VI,II,none,none,none,
data/cifs/AlCo3C_mp-10037.cif,Al1 Co3 C1,Pm-3m,221,unlikely perovskite-family,False,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,
data/cifs/AlFe3C_mp-22793.cif,Al1 Fe3 C1,Pm-3m,221,unlikely perovskite-family,False,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,
data/cifs/AlFeO3_mp-21216.cif,Al1 Fe1 O3,Pna2_1,33,unlikely perovskite-family,False,0.553,1.5,1.0,0.882352941176471,0.85,Fe,0.75,1.0,0.0,Al,Fe,O,3.0,3.0,-2.0,0.535,0.645,1.350,VI,VI,II,none,High Spin,none,
data/cifs/AlSiP3_mp-5168.cif,Al1 Si1 P3,Pnma,62,unlikely perovskite-family,False,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,
data/cifs/AsCl3O_mp-29863.cif,As1 Cl3 O1,P2_1/c,14,unlikely perovskite-family,False,0.205,4.0,0.0,0.0,0.44687499999999997,As,1.0,0.0625,0.0,,As,Cl,,5.0,-1.0,,0.460,1.810,,VI,VI,,none,none,
data/cifs/Ba3BiN_mp-567666.cif,Ba3 Bi1 N1,P6_3/mmc,194,unlikely perovskite-family,False,0.033,0.25,0.0,0.0,0.0,,0.0,0.0,0.0,Ba,Bi,N,2.0,-3.0,-3.0,1.610,,1.460,XII,,IV,none,,none,
data/cifs/Ba3GeO_mp-17833.cif,Ba3 Ge1 O1,Pnma,62,unlikely perovskite-family,False,0.033,0.25,0.0,0.0,0.0,,0.0,0.0,0.0,Ba,Ge,O,2.0,-4.0,-2.0,1.610,,1.350,XII,,II,none,,none,
data/cifs/Ba3LiN_mp-13288.cif,Ba3 Li1 N1,P6_3/mmc,194,unlikely perovskite-family,False,0.033,0.25,0.0,0.0,0.0,,0.0,0.0,0.0,Ba,Li,N,,,,,,,,,,,,,
data/cifs/Ba3NaN_mp-8868.cif,Ba3 Na1 N1,P6_3/mmc,194,unlikely perovskite-family,False,0.033,0.25,0.0,0.0,0.0,,0.0,0.0,0.0,Ba,Na,N,,,,,,,,,,,,,
data/cifs/Ba3PbO_mp-29242.cif,Ba3 Pb1 O1,Pm-3m,221,unlikely perovskite-family,False,0.033,0.25,0.0,0.0,0.0,,0.0,0.0,0.0,Ba,Pb,O,2.0,-4.0,-2.0,1.610,,1.350,XII,,II,none,,none,
data/cifs/Ba3SbN_mp-12814.cif,Ba3 Sb1 N1,P6_3/mmc,194,unlikely perovskite-family,False,0.033,0.25,0.0,0.0,0.0,,0.0,0.0,0.0,Ba,Sb,N,2.0,-3.0,-3.0,1.610,,1.460,XII,,IV,none,,none,
data/cifs/Ba3SnO_mp-29243.cif,Ba3 Sn1 O1,Pm-3m,221,unlikely perovskite-family,False,0.033,0.25,0.0,0.0,0.0,,0.0,0.0,0.0,Ba,Sn,O,2.0,-4.0,-2.0,1.610,,1.350,XII,,II,none,,none,
data/cifs/BaBiO3_mp-22942.cif,Ba1 Bi1 O3,C2/m,12,likely perovskite-family (ABX3/double-perovskite-like),True,1.0,1.5,1.0,0.882352941176471,1.0,Bi,0.5,1.0,1.0,Ba,Bi,O,2.0,3.0,-1.6666666666666667,1.610,1.030,,XII,VI,,none,none,,
